date,state,district,pincode,age_0_5,age_5_17,age_18_greater,total_enrolments,year,anomaly
2025-02-03,Meghalaya,East Khasi Hills,793121,11,61,37,109,2025,True
2025-09-03,Karnataka,Bengaluru Urban,560043,14,33,39,86,2025,True
2025-09-03,Uttar Pradesh,Kanpur Nagar,208001,29,82,12,123,2025,True
2025-09-03,Uttar Pradesh,Aligarh,202133,62,29,15,106,2025,True
2025-09-03,Karnataka,Bengaluru Urban,560016,14,16,21,51,2025,True
2025-09-03,Bihar,Sitamarhi,843331,20,49,12,81,2025,True
2025-09-03,Bihar,Sitamarhi,843330,23,24,42,89,2025,True
2025-09-03,Uttar Pradesh,Bahraich,271865,26,60,14,100,2025,True
2025-09-03,Uttar Pradesh,Firozabad,283204,28,26,10,64,2025,True
2025-09-03,Bihar,Purbi Champaran,845418,30,48,10,88,2025,True
2025-09-03,Uttar Pradesh,Maharajganj,273164,31,70,13,114,2025,True
2025-09-03,Bihar,Sitamarhi,843317,35,94,16,145,2025,True
2025-09-03,Maharashtra,Aurangabad,431001,42,46,12,100,2025,True
2025-09-03,Bihar,Sitamarhi,843324,49,186,34,269,2025,True
2025-09-03,Uttar Pradesh,Ghaziabad,201102,50,113,11,174,2025,True
2025-09-03,Haryana,Faridabad,121004,80,60,10,150,2025,True
2025-09-03,Karnataka,Bengaluru Urban,560068,14,17,35,66,2025,True
2025-09-03,Bihar,Madhubani,847108,18,120,22,160,2025,True
2025-09-03,Karnataka,Bengaluru Urban,560032,21,14,10,45,2025,True
2025-09-03,Rajasthan,Sikar,332001,41,36,17,94,2025,True
2025-09-03,Bihar,Bhagalpur,812005,13,40,18,71,2025,True
2025-09-03,Punjab,Amritsar,143001,14,15,20,49,2025,True
2025-09-03,Haryana,Gurugram,122001,18,19,13,50,2025,True
2025-09-03,Uttar Pradesh,Gautam Buddha Nagar,201301,25,249,16,290,2025,True
2025-09-03,Delhi,West Delhi,110018,29,11,15,55,2025,True
2025-09-03,Madhya Pradesh,Bhind,477116,37,18,11,66,2025,True
2025-09-03,Madhya Pradesh,Gwalior,475110,42,14,14,70,2025,True
2025-09-03,Madhya Pradesh,Katni,483501,53,42,11,106,2025,True
2025-09-03,Delhi,West Delhi,110059,93,42,42,177,2025,True
2025-09-03,Bihar,Purbi Champaran,845304,18,72,12,102,2025,True
2025-09-03,West Bengal,Coochbehar,736135,19,12,19,50,2025,True
2025-09-03,Uttar Pradesh,Lucknow,226003,23,102,17,142,2025,True
2025-09-03,West Bengal,Dinajpur Uttar,733129,26,18,27,71,2025,True
2025-01-04,Assam,Darrang,784116,119,67,64,250,2025,True
2025-01-04,Assam,Kamrup,781102,126,55,13,194,2025,True
2025-01-04,Punjab,Ludhiana,141007,374,110,25,509,2025,True
2025-01-04,Madhya Pradesh,Ashok Nagar,473335,125,29,22,176,2025,True
2025-01-04,Uttar Pradesh,Maharajganj,273305,141,176,13,330,2025,True
2025-01-04,West Bengal,Darjeeling,734010,81,49,17,147,2025,True
2025-01-04,Meghalaya,East Khasi Hills,793112,29,83,18,130,2025,True
2025-01-04,Jharkhand,Ranchi,834001,187,174,21,382,2025,True
2025-01-04,Gujarat,Surat,394107,169,69,32,270,2025,True
2025-01-04,Karnataka,Bengaluru,560036,204,34,29,267,2025,True
2025-01-04,Madhya Pradesh,Ashok Nagar,473443,141,57,15,213,2025,True
2025-01-04,Gujarat,Gir Somnath,362265,127,20,17,164,2025,True
2025-01-04,Maharashtra,Thane,421004,100,30,11,141,2025,True
2025-01-04,Madhya Pradesh,Bhind,477116,142,60,32,234,2025,True
2025-01-04,Uttar Pradesh,Banda,210001,250,177,30,457,2025,True
2025-01-04,Karnataka,Bengaluru,560032,311,46,25,382,2025,True
2025-01-04,Uttar Pradesh,Lucknow,226005,83,92,23,198,2025,True
2025-01-04,Assam,Kamrup Metro,781025,33,71,21,125,2025,True
2025-01-04,Assam,Goalpara,783120,34,43,38,115,2025,True
2025-01-04,Bihar,Sitamarhi,843313,98,76,13,187,2025,True
2025-01-04,Gujarat,Bhavnagar,364002,165,14,11,190,2025,True
2025-01-04,Meghalaya,East Khasi Hills,793008,16,195,85,296,2025,True
2025-01-04,Assam,Hojai,782435,205,60,29,294,2025,True
2025-01-04,Bihar,Sitamarhi,843315,102,125,18,245,2025,True
2025-01-04,Bihar,Muzaffarpur,844127,208,125,12,345,2025,True
2025-01-04,Maharashtra,Nagpur,440034,192,13,20,225,2025,True
2025-01-04,West Bengal,Cooch Behar,736135,243,127,20,390,2025,True
2025-01-04,Maharashtra,Jalgaon,425001,360,53,10,423,2025,True
2025-01-04,Gujarat,Vadodara,390022,93,20,19,132,2025,True
2025-01-04,Maharashtra,Hingoli,431512,243,22,33,298,2025,True
2025-01-04,Gujarat,Gandhinagar,382721,174,32,66,272,2025,True
2025-01-04,Madhya Pradesh,Bhind,477001,391,92,27,510,2025,True
2025-01-04,Meghalaya,East Khasi Hills,793108,57,188,56,301,2025,True
2025-01-04,Uttar Pradesh,Kanpur Nagar,208004,73,44,16,133,2025,True
2025-01-04,Delhi,North West Delhi,110040,221,134,28,383,2025,True
2025-01-04,Bihar,Munger,811213,191,278,22,491,2025,True
2025-01-04,Assam,Nagaon,782120,123,75,10,208,2025,True
2025-01-04,Karnataka,Bengaluru,560047,150,11,12,173,2025,True
2025-01-04,Nagaland,Kohima,797001,134,228,23,385,2025,True
